Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction,Month
2017-01-01 00:00:00,0.6,0,1003.8,0.0,0.1,97,0.0,1
2017-01-01 01:00:00,1.7,0,1003.5,0.0,-0.2,98,0.0,1
2017-01-01 02:00:00,0.6,0,1003.4,0.0,-1.2,99,0.0,1
2017-01-01 03:00:00,2.4,0,1003.3,0.0,-1.3,99,0.0,1
2017-01-01 04:00:00,4.0,0,1003.1,0.0,3.6,67,0.0,1
2017-01-01 05:00:00,1.4,0,1003.1,0.0,1.5,74,0.0,1
2017-01-01 06:00:00,1.4,0,1003.7,0.0,0.4,79,0.0,1
2017-01-01 07:00:00,1.3,0,1003.9,0.0,-0.9,81,0.0,1
2017-01-01 08:00:00,0.6,0,1004.3,0.0,-1.0,77,0.0,1
2017-01-01 09:00:00,0.6,0,1004.8,0.0,-2.0,81,0.0,1
2017-01-01 10:00:00,0.4,0,1005.2,0.0,-1.9,80,0.0,1
2017-01-01 11:00:00,1.1,46,1005.8,49.7,-0.2,74,215.8333,1
2017-01-01 12:00:00,1.2,60,1006.1,138.7,1.8,72,831.6667,1
2017-01-01 13:00:00,0.4,59,1006.1,121.6,2.7,66,349.5,1
2017-01-01 14:00:00,4.0,55,1006.5,77.0,5.0,49,272.0,1
2017-01-01 15:00:00,2.7,26,1007.6,33.1,4.8,48,130.2083,1
2017-01-01 16:00:00,2.5,16,1008.5,0.0,3.8,49,0.0,1
2017-01-01 17:00:00,3.8,0,1009.1,0.0,3.2,50,0.0,1
2017-01-01 18:00:00,4.7,0,1010.0,0.0,3.2,48,0.0,1
2017-01-01 19:00:00,4.2,0,1011.2,0.0,2.8,48,0.0,1
2017-01-01 20:00:00,4.8,0,1012.2,0.0,2.3,47,0.0,1
2017-01-01 21:00:00,3.3,0,1012.7,0.0,1.5,48,0.0,1
2017-01-01 22:00:00,4.0,0,1013.1,0.0,1.1,47,0.0,1
2017-01-01 23:00:00,2.6,0,1013.4,0.0,0.5,48,0.0,1
2017-01-02 00:00:00,1.2,0,1013.6,0.0,-2.1,61,0.0,1
2017-01-02 01:00:00,1.1,0,1013.3,0.0,-3.0,65,0.0,1
2017-01-02 02:00:00,1.0,0,1013.3,0.0,-3.1,66,0.0,1
2017-01-02 03:00:00,0.7,0,1013.4,0.0,-3.4,66,0.0,1
2017-01-02 04:00:00,1.4,0,1013.2,0.0,-3.4,62,0.0,1
2017-01-02 05:00:00,0.6,0,1013.2,0.0,-3.4,65,0.0,1
2017-01-02 06:00:00,1.5,0,1012.8,0.0,-2.0,58,0.0,1
2017-01-02 07:00:00,1.1,0,1012.5,0.0,-3.0,64,0.0,1
2017-01-02 08:00:00,0.4,0,1012.2,0.0,-3.3,67,0.0,1
2017-01-02 09:00:00,1.3,0,1012.2,0.0,-3.0,67,0.0,1
2017-01-02 10:00:00,0.4,7,1012.3,6.4,-3.0,68,0.0,1
2017-01-02 11:00:00,1.0,9,1012.3,40.1,-2.3,67,248.6667,1
2017-01-02 12:00:00,1.0,60,1012.1,71.3,-1.0,59,1087.3334,1
2017-01-02 13:00:00,1.5,60,1011.9,97.5,0.6,52,723.0,1
2017-01-02 14:00:00,1.1,60,1011.7,80.0,0.2,51,131.0,1
2017-01-02 15:00:00,1.6,60,1011.8,37.0,-0.2,50,51.0,1
2017-01-02 16:00:00,2.2,17,1011.9,0.7,-1.0,51,0.0,1
